train_ssim_loss,train_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_bce_loss,val_total_loss
0.2263,0.8527,0.1253,0.5142,0.0323,0.8344,0.0904,0.4479
0.0283,0.6125,0.0778,0.3328,0.0196,0.6665,0.0738,0.3566
0.0222,0.4668,0.0624,0.2546,0.0183,0.5614,0.0623,0.3009
0.02,0.4154,0.0562,0.2268,0.0217,0.49,0.0611,0.2657
0.019,0.3853,0.0525,0.2105,0.0182,0.4856,0.0545,0.261
0.0182,0.3654,0.0502,0.1998,0.0176,0.4111,0.0493,0.2223
0.0176,0.3499,0.0481,0.1914,0.0159,0.4402,0.0539,0.2376
0.0172,0.3383,0.0467,0.1851,0.0195,0.3792,0.0496,0.2069
0.0168,0.3257,0.0451,0.1783,0.0189,0.3559,0.0439,0.1936
0.0164,0.3132,0.0434,0.1715,0.0174,0.375,0.048,0.2039
0.0162,0.3077,0.0427,0.1686,0.0168,0.3852,0.0479,0.2088
0.0159,0.2951,0.0412,0.1618,0.015,0.3538,0.0449,0.1919
0.0156,0.2857,0.0398,0.1567,0.0168,0.344,0.0442,0.1872
0.0154,0.2804,0.0391,0.1538,0.0167,0.4109,0.0549,0.2233
0.0151,0.2725,0.0379,0.1495,0.0152,0.3833,0.0508,0.2081
0.0148,0.2635,0.0368,0.1447,0.016,0.3192,0.0428,0.1743
