train_ssim_loss,train_dice_loss,train_log_cosh_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_log_cosh_dice_loss,val_bce_loss,val_total_loss
0.1125,0.9192,0.3745,0.1118,2.8117,0.0282,0.897,0.3617,0.087,2.6327
0.0421,0.8711,0.3404,0.1086,2.5737,0.0372,0.875,0.3463,0.1014,2.5812
0.0381,0.838,0.3179,0.1042,2.454,0.057,0.8469,0.3258,0.1275,2.5299
0.0365,0.7468,0.2588,0.0978,2.1453,0.0305,0.6852,0.2265,0.0826,1.9364
0.0289,0.5931,0.1693,0.0824,1.636,0.0314,0.5979,0.181,0.0853,1.6746
0.0247,0.5081,0.1266,0.0715,1.3656,0.0213,0.5506,0.1593,0.0678,1.5089
0.0225,0.4611,0.1055,0.0654,1.2211,0.0193,0.5373,0.1537,0.0673,1.4686
0.0215,0.4379,0.0959,0.0624,1.1514,0.022,0.5645,0.1671,0.0766,1.5617
0.0206,0.4151,0.0863,0.0592,1.0825,0.0225,0.4848,0.1268,0.0668,1.3126
0.0198,0.3972,0.0796,0.0567,1.0301,0.0186,0.4642,0.1204,0.061,1.2488
0.0195,0.3863,0.0754,0.0554,0.9984,0.0197,0.4441,0.1106,0.0571,1.1863
0.019,0.3745,0.0711,0.0537,0.9641,0.0194,0.4513,0.1119,0.0593,1.2051
0.0186,0.3652,0.0678,0.0525,0.9372,0.0181,0.4822,0.1292,0.0651,1.306
0.0184,0.3568,0.0649,0.0513,0.9131,0.0185,0.3973,0.0902,0.0527,1.046
0.0182,0.3489,0.0621,0.0502,0.8903,0.02,0.4255,0.1028,0.0558,1.1325
0.0179,0.3398,0.0591,0.0489,0.8644,0.0179,0.463,0.1189,0.058,1.2397
0.0176,0.3324,0.0566,0.0479,0.8434,0.0175,0.4237,0.1029,0.0541,1.1248
0.0175,0.3309,0.0562,0.0478,0.8394,0.0179,0.3995,0.0919,0.0506,1.0513
0.0173,0.3232,0.0536,0.0467,0.8176,0.0169,0.399,0.0929,0.0513,1.0518
0.017,0.3157,0.0511,0.0458,0.7966,0.0191,0.4456,0.1128,0.0634,1.1993
0.017,0.3113,0.0498,0.0451,0.7842,0.0184,0.38,0.084,0.0508,0.9972
0.0167,0.3041,0.0476,0.0441,0.7642,0.0169,0.3784,0.0853,0.0484,0.9926
0.0165,0.299,0.046,0.0435,0.75,0.0184,0.4272,0.1032,0.0608,1.14
0.0163,0.294,0.0446,0.0428,0.7364,0.0175,0.3873,0.0877,0.0505,1.018
