train_ssim_loss,train_dice_loss,train_log_cosh_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_log_cosh_dice_loss,val_bce_loss,val_total_loss
0.1021,0.8063,0.298,0.1072,2.418,0.0423,0.7232,0.2478,0.1258,2.1102
0.0268,0.5754,0.1601,0.0794,1.5771,0.031,0.593,0.1758,0.0891,1.6575
0.0234,0.5032,0.1245,0.0706,1.3494,0.0266,0.5698,0.1674,0.0773,1.5782
0.0221,0.4685,0.1087,0.066,1.2425,0.0241,0.5125,0.1391,0.0692,1.3965
0.0211,0.4452,0.0988,0.0631,1.1722,0.0267,0.5095,0.1363,0.0727,1.3911
0.0207,0.429,0.0922,0.0609,1.1241,0.024,0.4901,0.1299,0.0662,1.3302
0.0201,0.4126,0.0855,0.0587,1.0751,0.0184,0.5086,0.144,0.0673,1.3908
0.0196,0.401,0.0813,0.0571,1.0413,0.0178,0.5007,0.1398,0.0613,1.3601
0.0194,0.3892,0.0766,0.0556,1.0066,0.0192,0.4854,0.1302,0.0611,1.3115
0.0189,0.3807,0.0734,0.0546,0.9818,0.0187,0.4859,0.1317,0.0645,1.3184
0.0186,0.3695,0.0693,0.053,0.9492,0.0196,0.479,0.1278,0.0642,1.2975
0.0184,0.3638,0.0672,0.0523,0.9327,0.0182,0.4771,0.1269,0.0604,1.2868
0.0183,0.3578,0.0652,0.0514,0.9155,0.0201,0.4872,0.1302,0.0627,1.3176
0.018,0.351,0.0628,0.0504,0.896,0.0187,0.4232,0.1014,0.0539,1.1218
0.0177,0.3439,0.0605,0.0494,0.8759,0.0197,0.4331,0.106,0.0599,1.1578
0.0177,0.3384,0.0587,0.0485,0.8602,0.0175,0.439,0.1115,0.058,1.1765
0.0173,0.3292,0.0557,0.0475,0.8344,0.0223,0.4042,0.0915,0.057,1.0707
0.0173,0.3268,0.0549,0.0471,0.8277,0.0172,0.4097,0.0976,0.0528,1.0847
0.0171,0.3206,0.0529,0.0461,0.8103,0.0209,0.4602,0.1159,0.0651,1.2381
0.0169,0.3155,0.0513,0.0455,0.796,0.0181,0.413,0.0982,0.0528,1.0932
0.0168,0.3096,0.0495,0.0446,0.7796,0.0188,0.4248,0.1043,0.0588,1.1359
0.0167,0.307,0.0485,0.0444,0.7721,0.0169,0.4327,0.1101,0.0573,1.1597
0.0167,0.3062,0.0485,0.0442,0.7702,0.019,0.4337,0.1075,0.068,1.1694
