train_ssim_loss,train_dice_loss,train_log_cosh_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_log_cosh_dice_loss,val_bce_loss,val_total_loss
0.112,0.7656,0.272,0.1068,2.294,0.0184,0.9703,0.4123,0.1103,2.894
0.0261,0.5791,0.1622,0.0791,1.5879,0.0228,0.6225,0.1995,0.0784,1.7451
0.023,0.5015,0.1238,0.0697,1.3434,0.0288,0.5895,0.1784,0.0787,1.6433
0.0217,0.4634,0.1064,0.0648,1.2261,0.022,0.582,0.1786,0.0805,1.6239
0.0207,0.4377,0.0957,0.0616,1.1492,0.0182,0.5021,0.1392,0.0644,1.3652
0.02,0.4181,0.0877,0.0589,1.0905,0.0213,0.4187,0.0968,0.0605,1.1127
0.0195,0.4027,0.0818,0.057,1.0456,0.0184,0.4473,0.1155,0.0581,1.2022
0.019,0.3898,0.0767,0.0552,1.0074,0.0171,0.4511,0.1178,0.0559,1.2108
0.0186,0.3749,0.0713,0.053,0.964,0.0183,0.4505,0.1168,0.0584,1.2114
0.0183,0.3659,0.068,0.0519,0.9379,0.0169,0.481,0.1315,0.0649,1.3069
0.0179,0.3543,0.0639,0.0504,0.9048,0.0186,0.4098,0.0975,0.0564,1.0897
0.0177,0.3486,0.0619,0.0495,0.8883,0.0173,0.4611,0.1212,0.0601,1.2419
0.0174,0.3383,0.0585,0.0481,0.859,0.0164,0.4337,0.1099,0.059,1.1627
0.0171,0.3312,0.0561,0.0472,0.839,0.0167,0.432,0.1097,0.0567,1.1569
0.017,0.3258,0.0544,0.0464,0.8238,0.0159,0.4564,0.1214,0.062,1.2335
0.0168,0.3202,0.0526,0.0457,0.8081,0.0162,0.445,0.1155,0.0598,1.197
0.0166,0.3109,0.0497,0.0443,0.7819,0.0157,0.4959,0.1383,0.0668,1.3508
0.0165,0.307,0.0486,0.0437,0.7714,0.0167,0.4075,0.1018,0.0532,1.0885
0.0163,0.3002,0.0464,0.0427,0.7523,0.0159,0.4295,0.1114,0.0583,1.1559
0.0161,0.2964,0.0453,0.0423,0.7418,0.0168,0.4434,0.1158,0.0613,1.1965
0.0159,0.2885,0.0429,0.0411,0.7199,0.0166,0.3952,0.0966,0.0491,1.0491
0.0157,0.2832,0.0415,0.0405,0.7056,0.0167,0.3991,0.0966,0.054,1.0621
0.0157,0.281,0.0409,0.0401,0.6996,0.017,0.3756,0.0868,0.0511,0.9928
0.0155,0.2743,0.0391,0.0392,0.6813,0.0166,0.3928,0.095,0.0523,1.0444
0.0154,0.2718,0.0383,0.0389,0.6745,0.0162,0.3709,0.0853,0.0497,0.9782
0.0152,0.2666,0.0368,0.0381,0.66,0.0168,0.4148,0.1029,0.0555,1.1077
0.0151,0.2638,0.0361,0.0377,0.6528,0.0169,0.4125,0.1028,0.055,1.1027
0.0151,0.2615,0.0355,0.0374,0.6465,0.016,0.4245,0.1077,0.0578,1.1381
0.0149,0.2563,0.034,0.0366,0.6322,0.0165,0.4037,0.0988,0.0552,1.0767
