train_ssim_loss,train_dice_loss,train_log_cosh_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_log_cosh_dice_loss,val_bce_loss,val_total_loss
0.11,0.9032,0.3632,0.1145,2.7573,0.0318,0.8935,0.3594,0.0945,2.632
0.0411,0.8585,0.3318,0.1078,2.5295,0.0455,0.8689,0.343,0.1256,2.595
0.0385,0.8048,0.2959,0.1028,2.3426,0.0412,0.8437,0.3242,0.1108,2.4877
0.0344,0.7087,0.2349,0.0946,2.0161,0.0263,0.7136,0.2468,0.0926,2.0397
0.0287,0.6058,0.1759,0.0831,1.6752,0.0208,0.7274,0.2573,0.0844,2.0747
0.027,0.5665,0.1553,0.0788,1.5493,0.0218,0.6382,0.2061,0.0783,1.7887
0.0258,0.5395,0.1416,0.0753,1.4633,0.0229,0.6326,0.2032,0.0823,1.7769
0.0247,0.5121,0.1285,0.0717,1.3777,0.0217,0.615,0.1952,0.0784,1.7204
0.0236,0.4862,0.1167,0.0685,1.2979,0.025,0.5565,0.1636,0.0748,1.5399
0.0264,0.5423,0.146,0.0755,1.4785,0.0202,0.8307,0.3213,0.1011,2.4254
0.0264,0.5542,0.1492,0.0762,1.5094,0.0226,0.6008,0.1872,0.0765,1.6751
0.0241,0.4966,0.1216,0.0691,1.3296,0.0217,0.531,0.1539,0.0682,1.4597
0.0225,0.4609,0.1055,0.0646,1.2198,0.0235,0.4848,0.1294,0.0618,1.3136
0.024,0.4921,0.1202,0.0686,1.3171,0.0234,0.5727,0.1709,0.0758,1.5865
0.0274,0.5734,0.1602,0.0785,1.573,0.0265,0.6634,0.2166,0.0922,1.8787
0.0276,0.5819,0.1633,0.0794,1.5976,0.0299,0.6202,0.1942,0.0922,1.7508
0.025,0.529,0.1367,0.0734,1.4298,0.0278,0.6347,0.2025,0.089,1.7912
0.0242,0.5053,0.1255,0.0705,1.3563,0.0295,0.6325,0.2014,0.0922,1.7896
0.0237,0.493,0.12,0.069,1.3188,0.0261,0.5684,0.1661,0.079,1.5741
