train_ssim_loss,train_dice_loss,train_log_cosh_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_log_cosh_dice_loss,val_bce_loss,val_total_loss
0.1141,0.6262,0.0,0.0848,0.2723,0.0209,0.7013,0.0,0.0784,0.2642
0.0193,0.3661,0.0,0.0475,0.1428,0.0195,0.5139,0.0,0.058,0.1952
0.0164,0.2848,0.0,0.0374,0.1117,0.0164,0.5061,0.0,0.0574,0.1914
0.0148,0.2375,0.0,0.0311,0.0935,0.0172,0.6103,0.0,0.0771,0.2325
0.0137,0.2059,0.0,0.0268,0.0813,0.0181,0.6259,0.0,0.0802,0.239
0.0129,0.1826,0.0,0.0236,0.0723,0.0177,0.523,0.0,0.0667,0.2004
0.0122,0.1644,0.0,0.021,0.0652,0.0165,0.503,0.0,0.0646,0.1927
0.0117,0.1509,0.0,0.0191,0.06,0.017,0.5838,0.0,0.0851,0.2263
