train_ssim_loss,train_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_bce_loss,val_total_loss
0.2024,0.7463,0.1119,0.4517,0.0307,0.6164,0.0843,0.3369
0.0232,0.4903,0.065,0.2672,0.0189,0.4782,0.059,0.2586
0.0202,0.4191,0.0569,0.2288,0.0174,0.4429,0.0525,0.2389
0.0188,0.3843,0.0525,0.21,0.0189,0.4595,0.0557,0.2484
0.0181,0.3615,0.0495,0.1977,0.0205,0.3965,0.0487,0.2156
0.0174,0.3431,0.0471,0.1877,0.0165,0.4207,0.0535,0.2279
0.017,0.328,0.0451,0.1795,0.0167,0.4381,0.0553,0.2371
0.0165,0.3149,0.0435,0.1725,0.0161,0.352,0.0428,0.1908
0.0162,0.3038,0.0421,0.1665,0.0187,0.4012,0.0528,0.2185
0.0158,0.2924,0.0405,0.1603,0.0151,0.3783,0.0503,0.2055
0.0155,0.2844,0.0395,0.1559,0.0159,0.3336,0.0415,0.1812
0.0153,0.2745,0.0381,0.1506,0.0153,0.3524,0.0444,0.1912
0.015,0.2668,0.0371,0.1464,0.0173,0.3585,0.0476,0.1955
0.0147,0.2565,0.0357,0.1409,0.0187,0.3816,0.052,0.2085
0.0145,0.2513,0.0349,0.138,0.0172,0.3526,0.0491,0.1929
0.0143,0.2426,0.0337,0.1333,0.0165,0.3503,0.0481,0.1913
0.0142,0.2374,0.033,0.1305,0.0153,0.3333,0.0431,0.1813
0.0139,0.2292,0.0319,0.126,0.0157,0.3191,0.041,0.1737
0.0137,0.2233,0.0311,0.1229,0.0176,0.3389,0.0461,0.1854
0.0136,0.2191,0.0306,0.1206,0.0148,0.3207,0.0405,0.1742
0.0134,0.2131,0.0296,0.1173,0.0164,0.346,0.0468,0.1888
0.0133,0.2082,0.0289,0.1146,0.0153,0.295,0.0375,0.1607
0.0132,0.205,0.0285,0.1129,0.0162,0.338,0.0463,0.1846
0.013,0.1994,0.0278,0.1099,0.016,0.3528,0.0491,0.1926
