train_ssim_loss,train_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_bce_loss,val_total_loss
0.2169,0.8074,0.1155,0.4868,0.0321,0.7266,0.0936,0.3947
0.0247,0.5328,0.0692,0.2899,0.0183,0.6211,0.0699,0.3326
0.0207,0.4364,0.0587,0.238,0.0177,0.4549,0.0538,0.2453
0.0192,0.393,0.0536,0.2147,0.0175,0.4372,0.0506,0.2356
0.0185,0.3713,0.0508,0.2029,0.0183,0.4406,0.0534,0.2382
0.0176,0.3522,0.0486,0.1927,0.0161,0.3756,0.0462,0.2034
0.0171,0.3346,0.0461,0.1831,0.0176,0.455,0.0585,0.2465
0.0167,0.3222,0.0445,0.1764,0.019,0.4145,0.0559,0.226
0.0164,0.3117,0.0432,0.1708,0.0162,0.4149,0.0543,0.225
0.0161,0.3017,0.0418,0.1653,0.0153,0.4021,0.0527,0.218
0.0158,0.2944,0.0408,0.1614,0.0171,0.3593,0.0448,0.1951
0.0154,0.2804,0.039,0.1538,0.0166,0.4044,0.0557,0.2202
0.0153,0.2752,0.0383,0.151,0.0148,0.3941,0.0523,0.2138
0.0149,0.2652,0.0369,0.1455,0.0168,0.3735,0.0499,0.2034
