train_ssim_loss,train_dice_loss,train_log_cosh_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_log_cosh_dice_loss,val_bce_loss,val_total_loss
0.1133,0.8794,0.3463,0.1147,2.6793,0.1197,0.9059,0.366,0.3163,2.9798
0.0384,0.7944,0.289,0.1032,2.3083,0.0242,0.8324,0.3181,0.0942,2.4193
0.0312,0.6801,0.2178,0.092,1.919,0.0222,0.8033,0.3028,0.0845,2.3192
0.0279,0.604,0.1752,0.0829,1.6692,0.0221,0.7551,0.2732,0.0953,2.1739
0.0268,0.5833,0.1642,0.0801,1.602,0.0193,0.7449,0.2685,0.101,2.147
0.0248,0.5391,0.1416,0.0748,1.461,0.0275,0.7028,0.2391,0.1046,2.0159
0.0241,0.5294,0.137,0.0733,1.4301,0.0207,0.6252,0.2003,0.0809,1.7525
0.0232,0.5038,0.1248,0.0703,1.3507,0.0218,0.574,0.1732,0.0726,1.5886
0.0231,0.498,0.1228,0.0697,1.3343,0.0221,0.7362,0.262,0.0957,2.1142
0.0257,0.56,0.1527,0.0772,1.5283,0.0227,0.608,0.1886,0.0812,1.6971
0.023,0.4978,0.122,0.0693,1.3319,0.0212,0.6093,0.191,0.0819,1.7037
0.0224,0.4812,0.1144,0.0673,1.2808,0.0198,0.59,0.1802,0.073,1.6332
0.0222,0.4717,0.1101,0.066,1.2517,0.0184,0.6159,0.1954,0.085,1.726
0.0217,0.462,0.1061,0.0648,1.2227,0.0209,0.5852,0.1771,0.0811,1.6266
