train_ssim_loss,train_dice_loss,train_log_cosh_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_log_cosh_dice_loss,val_bce_loss,val_total_loss
0.1254,0.9216,0.3764,0.1154,2.8367,0.0316,0.9173,0.3748,0.0901,2.706
0.0457,0.8795,0.3462,0.1106,2.6078,0.0304,0.8688,0.3424,0.0952,2.548
0.0488,0.8861,0.3512,0.1081,2.6316,0.1541,0.9354,0.3861,0.2943,3.0913
0.0521,0.852,0.327,0.1101,2.5202,0.028,0.8819,0.3512,0.0957,2.59
0.0356,0.716,0.2391,0.0955,2.0414,0.0224,0.8543,0.3377,0.0927,2.4989
0.0319,0.6595,0.2055,0.0895,1.8515,0.0283,0.7302,0.2573,0.0924,2.0957
0.03,0.6212,0.184,0.085,1.7254,0.0208,0.7242,0.2544,0.0862,2.0642
0.0287,0.5872,0.1659,0.0809,1.6158,0.023,0.6761,0.2271,0.0806,1.9099
0.0263,0.5395,0.1416,0.0751,1.4636,0.0233,0.6305,0.2032,0.0807,1.7716
0.025,0.5114,0.128,0.0715,1.3753,0.0232,0.6041,0.1872,0.0768,1.6827
0.0238,0.4838,0.1155,0.068,1.2904,0.0275,0.5145,0.1397,0.0699,1.4057
0.0227,0.4599,0.1049,0.0651,1.2174,0.0214,0.5374,0.1551,0.0695,1.476
0.0217,0.4359,0.0948,0.062,1.1452,0.019,0.5308,0.1528,0.0652,1.4514
0.0211,0.4185,0.0878,0.0598,1.0937,0.0178,0.5234,0.1493,0.0666,1.4298
0.0203,0.4001,0.0807,0.0574,1.0394,0.0193,0.4807,0.1287,0.0601,1.2982
0.0197,0.3857,0.0752,0.0554,0.9971,0.0197,0.5019,0.1372,0.0634,1.3612
0.0193,0.3736,0.0708,0.0539,0.9619,0.0199,0.4612,0.1191,0.0606,1.2412
